,Name,Category,Effect
684,Peanut Butter,None,A very sweet condiment. People in Paldea seem to favor the sweet varieties over the unsweetened.
685,Pearl,General items,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
686,Pearl String,General items,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
687,Peat Block,General items,A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.
688,Pecha Berry,Berries,"If held by a Pokémon, it recovers from poison."
689,Pep-Up Plant,General items,
690,Pepper,None,A seasoning packing very spicy flavor. It goes nicely with oilier foods and works especially well when you add just a pinch for a hint of flavor.
691,Permit,General items,A permit that is needed to enter the Nature Preserve. Not many know about it.
692,Persim Berry,Berries,"If held by a Pokémon, it recovers from confusion."
693,Petaya Berry,Berries,Raises Special Attack when HP is low.
694,Petilil Leaf,General items,"Material obtained after defeating/catching Petilil, used in TM crafting."
695,Pewter Crunchies,Medicine,Heals all major status conditions.
696,Phanpy Nail,General items,"Material obtained after defeating/catching Phanpy, used in TM crafting."
697,Pichu Fur,General items,"Material obtained after defeating/catching Pichu, used in TM crafting."
698,Pickle,None,This very sour ingredient is made by pickling veggies in a flavorful brine made from spices and vinegar.
699,Picnic Set,None,A roomy basket packed with all sorts of things for use when enjoying picnicking with your Pokémon.
700,Pidgeotite,Hold items,Enables Pidgeot to Mega Evolve during battle.
701,Pika-Pika Pick,None,"A Pick-achu, as it were, sporting Pikachu’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular."
702,Pikachu Cup,None,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
703,Pikanium Z,Hold items,"Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika."
704,Pikashunium Z,Hold items,"Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt."
705,Pinap Berry,Berries,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go."
706,Pincurchin Spines,General items,"Material obtained after defeating/catching Pincurchin, used in TM crafting."
707,Pineapple,None,"This very tart ingredient is a fruit of southern lands, and its color and texture are a thrill. It’s been cut into chunks to be easily manageable."
708,Pineco Husk,General items,"Material obtained after defeating/catching Pineco, used in TM crafting."
709,Pink Apricorn,General items,"A pink Apricorn. It has a nice, sweet scent."
710,Pink Bottle,None,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
711,Pink Cup,None,"A cup sold with the Pink Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos."
712,Pink Nectar,Hold items,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
713,Pink Scarf,General items,Raises holder's Cute aspect in a Contest.
714,Pink Tablecloth,None,"A simple pink tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
715,Pinsirite,Hold items,Enables Pinsir to Mega Evolve during battle.
716,Pixie Plate,Hold items,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.
717,Plaid Tablecloth (B),None,A sturdy tablecloth made of thick fabric. The gentle blue plaid gives a table a crisp look.
718,Plaid Tablecloth (R),None,A sturdy tablecloth made of thick fabric. The quietly composed red plaid gives the table some flair.
719,Plaid Tablecloth (Y),None,A sturdy tablecloth made of thick fabric. The cheery yellow plaid brightens up a table.
720,Plasma Card,Hold items,A card key needed to enter the password inside the Plasma Frigate.
721,Plume Fossil,General items,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.
722,Plump Beans,General items,
723,Poison Barb,Hold items,Increases the power of Poison-type moves.
724,Poison Gem,Hold items,Increases the power of a Poison-type move only once.
725,Poison Memory,Hold items,Changes Silvally and its move Multi-Attack to Poison type.
726,Poison Tera Shard,None,Changes a Pokémon's Tera Type to Poison.
727,Poisonium Z,Hold items,"Allows the use of Acid Downpour, the Poison type Z-Move."
728,Poké Ball,Pokeballs,Catches wild Pokémon.
729,Poké Doll,General items,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
730,Poké Toy,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
731,Polished Mud Ball,General items,
732,Polka-Dot Bottle,None,"A polka-dot-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
733,Polka-Dot Cup,None,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
734,Polka-Dot Tablecloth,None,"A tablecloth with a fashionable polka-dot pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
735,Pomeg Berry,Berries,Increases Friendship but lowers HP EVs.
736,Pop Pod,General items,
737,Potato Salad,None,This very tart ingredient—a soft salad that’s all about potatoes—pairs tremendously well with bread.
738,Potato Tortilla,None,A very salty ingredient and a popular dish in Paldea. It’s undeniably filling.
739,Potion,Medicine,Restores 20 HP.
740,Power Anklet,Hold items,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat."
741,Power Band,Hold items,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat."
742,Power Belt,Hold items,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat."
743,Power Bracer,Hold items,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat."
744,Power Herb,Hold items,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.
745,Power Lens,Hold items,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat."
746,Power Plant Pass,Hold items,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
747,Power Weight,Hold items,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat."
748,PP Max,Medicine,Raises the maximum PP of a move to its maximum.
749,PP Up,Medicine,Raises the maximum PP of a move.
750,Precooked Burger,General items,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger."
751,Premier Ball,Pokeballs,Catches wild Pokémon; received after buying 10 Poké Balls.
752,Pretty Feather,General items,Can be sold for a high price.
753,Primarium Z,Hold items,"Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta."
754,Prism Scale,General items,Evolves Feebas when traded holding the item.
755,Prison Bottle,Hold items,Transforms Hoopa Confined to Hoopa Unbound.
756,Prof's Letter,Hold items,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
757,Prosciutto,None,"This ingredient is very salty like regular ham, but the difference is prosciutto is not cooked after it is cured, giving it a fun freshness."
758,Protective Pads,Hold items,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
759,Protector,General items,Evolves Rhydon when traded holding the item.
760,Protein,Medicine,Increases Attack EVs by 10.
761,Psychic Gem,Hold items,Increases the power of a Psychic-type move only once.
762,Psychic Memory,Hold items,Changes Silvally and its move Multi-Attack to Psychic type.
763,Psychic Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
764,Psychic Tera Shard,None,Changes a Pokémon's Tera Type to Psychic.
765,Psychium Z,Hold items,"Allows the use of Shattered Psyche, the Psychic type Z-Move."
766,Psyduck Down,General items,"Material obtained after defeating/catching Psyduck, used in TM crafting."
767,Punching Glove,None,An item to be held by a Pokémon. This protective glove boosts the power of the holder’s punching moves and prevents direct contact with targets.
768,Pungent Root,General items,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish."
769,Pure Incense,Hold items,Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.
770,Purple Nectar,Hold items,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
771,Qualot Berry,Berries,Increases Friendship but lowers Defense EVs.
772,Quick Ball,Pokeballs,Catches wild Pokémon with a higher rate (5x) on the first turn of a battle.
773,Quick Candy,Medicine,Increases a Pokémon's Speed stat by 1.
774,Quick Candy L,Medicine,Increases a Pokémon's Speed stat.
775,Quick Candy XL,Medicine,Increases a Pokémon's Speed stat.
776,Quick Claw,Hold items,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally."
777,Quick Powder,Hold items,Increases Speed when held by Ditto.
778,Quiet Mint,Battle items,Changes the Pokémon's stats to match the Quiet nature.
779,Qwilfish Spines,General items,"Material obtained after defeating/catching Qwilfish, used in TM crafting."
780,Rabuta Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
781,Rage Candy Bar,Medicine,Heals all major status conditions.
782,Rainbow Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Rainbow Room at Ramanas Park.
783,Ralts Dust,General items,"Material obtained after defeating/catching Ralts, used in TM crafting."
784,Rare Bone,General items,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.
785,Rare Candy,Medicine,Raises a Pokémon's level by 1.
786,Rash Mint,Battle items,Changes the Pokémon's stats to match the Rash nature.
787,Rawst Berry,Berries,"If held by a Pokémon, it recovers from a burn."
788,Razor Claw,Hold items,Increases critical-hit ratio. Evolves Sneasel when held at night.
789,Razor Fang,Hold items,May cause opponent to flinch. Evolves Gligar when held at night.
790,Razz Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
791,Reaper Cloth,General items,Evolves Dusclops when traded holding the item.
792,Red Apricorn,General items,A red Apricorn. It assails your nostrils.
793,Red Bell Pepper,None,An ingredient with some bitterness—but its bitter notes and overall flavor are pleasantly mild compared to its green cousin.
794,Red Card,Hold items,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle."
795,Red Dish,None,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The red variety never fails to sell well.
796,Red-Flag Pick,None,"This pick flies a red flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind."
797,Red Flute,General items,A toy flute made from red glass. A maniac will buy it for a high price.
798,Red Nectar,Hold items,A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.
799,Red Onion,None,"An ingredient with some sweetness to it. Its spiciness and fragrance are milder than those of other onions, making it a pleasant bite."
800,Red Poké Ball Pick,None,A sandwich pick with a simple red Poké Ball design. Often used by Trainers who picked a Fire-type Pokémon for their first partner.
801,Red Scarf,General items,Raises holder's Cool aspect in a Contest.
802,Red Shard,General items,A small red shard. It appears to be from some sort of implement made long ago.
803,Relaxed Mint,Battle items,Changes the Pokémon's stats to match the Relaxed nature.
804,Relic Band,General items,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
805,Relic Copper,General items,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
806,Relic Crown,General items,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
807,Relic Gold,General items,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
808,Relic Silver,General items,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
809,Relic Statue,General items,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
810,Relic Vase,General items,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
811,Rellor Mud,General items,"Material obtained after defeating/catching Rellor, used in TM crafting."
812,Remedy,Medicine,
813,Repeat Ball,Pokeballs,Catches Pokémon already registered in the Pokédex with 3.5x the rate of a standard Poké Ball.
814,Repel,General items,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.
815,Reset Urge,Battle items,"When used, it restores any stat changes of an ally Pokémon."
816,Resist Feather,Medicine,Increases Defense EVs by 1.
817,Resist Mochi,Medicine,Increases Defense EVs.
818,Reveal Glass,General items,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.
819,Revival Herb,Medicine,"Revives a Pokémon to max HP, but lowers Friendship."
820,Revive,Medicine,"Revives a fainted Pokémon, restoring half its HP."
821,Ribbon Sweet,Hold items,Evolves Milcery into Ribbon Flavor Alcremie.
822,Rice,None,An ingredient with a touch of sweetness. It’s unclear how well this cooked rice will serve as a sandwich filling.
823,Rindo Berry,Berries,Weakens a supereffective Grass-type attack against the holding Pokémon.
824,Ring Target,Hold items,Moves that would otherwise have no effect will land on the Pokémon that holds it.
825,Riolu Fur,General items,"Material obtained after defeating/catching Riolu, used in TM crafting."
826,Rock Gem,Hold items,Increases the power of a Rock-type move only once.
827,Rock Incense,Hold items,Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.
828,Rock Memory,Hold items,Changes Silvally and its move Multi-Attack to Rock type.
829,Rock Tera Shard,None,Changes a Pokémon's Tera Type to Rock.
830,Rockium Z,Hold items,"Allows the use of Continental Crush, the Rock type Z-Move."
831,Rockruff Rock,General items,"Material obtained after defeating/catching Rockruff, used in TM crafting."
832,Rocky Helmet,Hold items,"If the holder of this item takes damage, the attacker will also be damaged upon contact."
833,Roller Skates,General items,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks."
834,Rolycoly Coal,General items,"Material obtained after defeating/catching Rolycoly, used in TM crafting."
835,Rookidee Feather,General items,"Material obtained after defeating/catching Rookidee, used in TM crafting."
836,Room Service,Hold items,Lowers the Pokémon's speed during Trick Room.
837,Root Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.
838,Rose Incense,Hold items,Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.
839,Roseli Berry,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
840,Roto Bargain,Battle items,Reduces the prices of products at Poké Marts by half.
841,Roto Boost,Battle items,Raises all stats of your battling Pokémon.
842,Roto Catch,Battle items,Increases the chance to catch Pokémon a lot.
843,Roto Encounter,Battle items,Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.
844,Roto Exp. Points,Battle items,Increases the Exp. Points your Pokémon receive after battle a little.
845,Roto Friendship,Battle items,Helps Pokémon in your party grow friendly faster.
846,Roto Hatch,Battle items,Helps Eggs hatch faster.
847,Roto HP Restore,Battle items,Fully restores the HP of your battling Pokémon.
848,Roto PP Restore,Battle items,Fully restores the PP of your battling Pokémon.
849,Roto Prize Money,Battle items,Triples the prize money you receive after battle.
850,Roto Stealth,Battle items,Prevents you from encountering wild Pokémon for a certain period of time.
851,Rotom Phone,None,"The latest model of smartphone. A Pokémon called Rotom lives within it, and it can be used to run all sorts of handy apps."
852,Rotom Sparks,General items,"Material obtained after defeating/catching Rotom, used in TM crafting."
853,Rowap Berry,Berries,"If held by a Pokémon and a special attack lands, the attacker also takes damage."
854,Rufflet Feather,General items,"Material obtained after defeating/catching Rufflet, used in TM crafting."
855,Sablenite,Hold items,Enables Sableye to Mega Evolve during battle.
856,Sableye Gem,General items,"Material obtained after defeating/catching Sableye, used in TM crafting."
857,Sachet,General items,Evolves Spritzee when traded holding the item.
858,Sacred Ash,Medicine,Revives all fainted Pokémon and fully restores their HP.
859,Safari Ball,Pokeballs,Catches Pokémon in the Safari Zone or Great Marsh.
860,Safety Goggles,Hold items,Prevents damage from weather and powder.
861,Salac Berry,Berries,Raises Speed when HP is low.
862,Salad Mix,General items,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.
863,Salamencite,Hold items,Enables Salamence to Mega Evolve during battle.
864,Salandit Gas,General items,"Material obtained after defeating/catching Salandit, used in TM crafting."
865,Salt,None,"A very salty seasoning, unsurprisingly. People quite like the grains of salt that can be gathered from the footprints of particularly jagged Naclstack."
866,Salt Cake,General items,
867,Salty Herba Mystica,None,One of the condiments spoken of as legends. Its mellow saltiness is said to be tremendously effective when it comes to promoting health.
868,Sand Radish,General items,
869,Sandile Claw,General items,"Material obtained after defeating/catching Sandile, used in TM crafting."
870,Sandwich,None,"A dish made by sandwiching vegetables, meat, or other ingredients between two pieces of bread. It makes a fantastic meal when out on a picnic."
871,Sandygast Sand,General items,"Material obtained after defeating/catching Sandygast, used in TM crafting."
872,Sassy Mint,Battle items,Changes the Pokémon's stats to match the Sassy nature.
873,Sausages,General items,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.
874,Scarlet Book,None,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Sada” written on it in clumsy handwriting."
875,Scatter Bang,General items,
876,Scatterbug Powder,General items,"Material obtained after defeating/catching Scatterbug, used in TM crafting."
877,Sceptilite,Hold items,Enables Sceptile to Mega Evolve during battle.
878,Scizorite,Hold items,Enables Scizor to Mega Evolve during battle.
879,Scope Lens,Hold items,Increases critical-hit ratio.
880,Scroll of Darkness,None,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of darkness.
881,Scroll of Waters,None,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of water.
882,Scyther Claw,General items,"Material obtained after defeating/catching Scyther, used in TM crafting."
883,Sea Incense,Hold items,Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.
884,Seed of Mastery,General items,
885,Serious Mint,Battle items,Changes the Pokémon's stats to match a neutral nature.
886,Seviper Fang,General items,"Material obtained after defeating/catching Seviper, used in TM crafting."
887,Shaderoot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.
888,Shalour Sable,Medicine,Heals all major status conditions.
889,Sharp Beak,Hold items,Increases the power of Flying-type moves.
890,Sharpedonite,Hold items,Enables Sharpedo to Mega Evolve during battle.
891,Shed Shell,Hold items,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle."
892,Shell Bell,Hold items,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.
893,Shellder Pearl,General items,"Material obtained after defeating/catching Shellder, used in TM crafting."
894,Shellos Mucus,General items,"Material obtained after defeating/catching Shellos, used in TM crafting."
895,Shinx Fang,General items,"Material obtained after defeating/catching Shinx, used in TM crafting."
896,Shiny Charm,General items,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
897,Shiny Stone,General items,Evolves certain species of Pokémon.
898,Shoal Salt,General items,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
899,Shoal Shell,General items,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
900,Shock Drive,Hold items,Changes Techno Blast to an Electric-type move when held by Genesect.
901,Shroodle Ink,General items,"Material obtained after defeating/catching Shroodle, used in TM crafting."
902,Shroomish Spores,General items,"Material obtained after defeating/catching Shroomish, used in TM crafting."
903,Shuca Berry,Berries,Weakens a supereffective Ground-type attack against the holding Pokémon.
904,Shuppet Scrap,General items,"Material obtained after defeating/catching Shuppet, used in TM crafting."
905,Silicobra Sand,General items,"Material obtained after defeating/catching Silicobra, used in TM crafting."
906,Silk Scarf,Hold items,Increases the power of Normal-type moves.
907,Silver Bottle,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
908,Silver Cup,None,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
909,Silver Leaf,General items,
910,Silver Nanab Berry,Berries,"Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
911,Silver Pick,None,"A silver pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings."
912,Silver Pinap Berry,Berries,"Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
913,Silver Powder,Hold items,Increases the power of Bug-type moves.
914,Silver Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.
915,Sinistea Chip,General items,"Material obtained after defeating/catching Sinistea, used in TM crafting."
916,Sitrus Berry,Berries,"If held by a Pokémon, it heals the user's HP a little."
917,Skiddo Leaf,General items,"Material obtained after defeating/catching Skiddo, used in TM crafting."
918,Skrelp Kelp,General items,"Material obtained after defeating/catching Skrelp, used in TM crafting."
919,Skull Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.
920,Skwovet Fur,General items,"Material obtained after defeating/catching Skwovet, used in TM crafting."
921,Sky Plate,Hold items,Increases power of Flying-type moves. Changes Arceus' type to Flying.
922,Sky Tumblestone,General items,
923,Slakoth Fur,General items,"Material obtained after defeating/catching Slakoth, used in TM crafting."
924,Slowbronite,Hold items,Enables Slowbro to Mega Evolve during battle.
925,Slowpoke Claw,General items,"Material obtained after defeating/catching Slowpoke, used in TM crafting."
926,Slowpoke Cup,None,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
927,Small Bouquet,General items,
928,Smart Candy,Medicine,Increases a Pokémon's Special Attack stat by 1.
929,Smart Candy L,Medicine,Increases a Pokémon's Special Attack stat.
930,Smart Candy XL,Medicine,Increases a Pokémon's Special Attack stat.
931,Smiling Vee Pick,None,"A pick designed after Eevee, sporting the Pokémon’s smiling face. It’s easy to grab by the ears, which is part of why it’s so popular."
932,Smoke Ball,Hold items,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.
933,Smoke Bomb,General items,
934,Smoke-Poke Tail,General items,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly."
935,Smoked Fillet,None,A very salty and bitter ingredient with that unmistakable smoky flavor. It pairs exceptionally well with veggies.
936,Smoliv Oil,General items,"Material obtained after defeating/catching Smoliv, used in TM crafting."
937,Smooth Rock,Hold items,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.
938,Sneasel Claw,General items,"Material obtained after defeating/catching Sneasel, used in TM crafting."
939,Snom Thread,General items,"Material obtained after defeating/catching Snom, used in TM crafting."
940,Snorlium Z,Hold items,"Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake."
941,Snorunt Fur,General items,"Material obtained after defeating/catching Snorunt, used in TM crafting."
942,Snover Berries,General items,"Material obtained after defeating/catching Snover, used in TM crafting."
943,Snowball,Hold items,Raises Attack if hit by an Ice-type move.
944,Soda Pop,Medicine,Restores 50 HP.
945,Soft Sand,Hold items,Increases the power of Ground-type moves.
946,Solganium Z,Hold items,"Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash."
947,Sootfoot Root,General items,
948,Soothe Bell,Hold items,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.
949,Soul Dew,Hold items,Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.
950,Soul Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Soul Room at Ramanas Park.
951,Sour Herba Mystica,None,This surpassingly sour condiment is said to be super effective in helping the eater recover from exhaustion. Only a scant few people know it exists.
952,Spell Tag,Hold items,Increases the power of Ghost-type moves.
953,Spelon Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
954,Spice Mix,General items,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.
955,Spicy Herba Mystica,None,The legendary condiment said to have the mightiest of all spicy flavors. It’s said that a single bite will kick the metabolism into high gear immediately.
956,Spiritomb Fragment,General items,"Material obtained after defeating/catching Spiritomb, used in TM crafting."
957,Splash Plate,Hold items,Increases power of Water-type moves. Changes Arceus' type to Water.
958,Spoiled Apricorn,General items,
959,Spoink Pearl,General items,"Material obtained after defeating/catching Spoink, used in TM crafting."
960,Spooky Plate,Hold items,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.
961,Spooky Tablecloth,None,A pop-art-style tablecloth with Pokémon faces floating up from the deep nighttime blue. This is a must-have for fans of Ghost types.
962,Sport Ball,Pokeballs,A special Poké Ball for the Bug-Catching Contest.
963,Springy Mushroom,General items,
964,Sprinklotad,General items,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil."
965,Squall Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Squall Room at Ramanas Park.
966,Squawkabilly Feather,General items,"Material obtained after defeating/catching Squawkabilly, used in TM crafting."
967,Stable Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
968,Stantler Hair,General items,"Material obtained after defeating/catching Stantler, used in TM crafting."
969,Star Piece,General items,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
970,Star Sweet,Hold items,Evolves Milcery into Star Flavor Alcremie.
971,Stardust,General items,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops."
972,Starf Berry,Berries,Sharply raises a random stat when HP is low.
973,Starly Feather,General items,"Material obtained after defeating/catching Starly, used in TM crafting."
974,Stealth Spray,General items,
975,Steel Bottle (B),None,"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
976,Steel Bottle (R),None,"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
977,Steel Bottle (Y),None,"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
978,Steel Gem,Hold items,Increases the power of a Steel-type move only once.
979,Steel Memory,Hold items,Changes Silvally and its move Multi-Attack to Steel type.
980,Steel Tera Shard,None,Changes a Pokémon's Tera Type to Steel.
981,Steelium Z,Hold items,"Allows the use of Corkscrew Crash, the Steel type Z-Move."
982,Steelixite,Hold items,Enables Steelix to Mega Evolve during battle.
983,Sticky Barb,Hold items,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
984,Sticky Glob,General items,
985,Stone Plate,Hold items,Increases power of Rock-type moves. Changes Arceus' type to Rock.
986,Stonjourner Stone,General items,"Material obtained after defeating/catching Stonjourner, used in TM crafting."
987,Strange Ball,Pokeballs,
988,Strange Souvenir,General items,An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.
989,Stratospheric Slate,None,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Stratospheric Room at Ramanas Park.
990,Strawberry,None,"A very tart and sweet ingredient, popular for its ability to make a sandwich visually striking."
991,Strawberry Sweet,Hold items,Evolves Milcery into Strawberry Flavor Alcremie.
992,Stretchy Spring,General items,
993,Striped Bottle,None,"A striped bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
994,Striped Cup,None,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
995,Striped Tablecloth,None,"A tablecloth with a fashionable striped pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
996,Stunky Fur,General items,"Material obtained after defeating/catching Stunky, used in TM crafting."
997,Sun Stone,General items,Evolves certain species of Pokémon.
998,Sunkern Leaf,General items,"Material obtained after defeating/catching Sunkern, used in TM crafting."
999,Sunrise Flower Pick,None,A flower pick designed to evoke a glorious sunrise. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
1000,Sunset Flower Pick,None,A flower pick designed to evoke a blazing sunset. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
1001,Super Lure,General items,Attracts Pokémon in the wild.
1002,Super Potion,Medicine,Restores 60 HP.
1003,Super Repel,General items,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.
1004,Surskit Syrup,General items,"Material obtained after defeating/catching Surskit, used in TM crafting."
1005,Swablu Fluff,General items,"Material obtained after defeating/catching Swablu, used in TM crafting."
1006,Swampertite,Hold items,Enables Swampert to Mega Evolve during battle.
1007,Swap Snack,General items,
1008,Sweet Apple,Hold items,Evolves Applin into Appletun.
1009,Sweet Heart,Medicine,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.
1010,Sweet Herba Mystica,None,A legendary condiment told of only in books. Word has it that one taste of its sweet flavor stimulates the digestive system and cures a lack of appetite.
1011,Swift Feather,Medicine,Increases Speed EVs by 1.
1012,Swift Mochi,Medicine,Increases Speed EVs.
1013,Swordcap,General items,
1014,Syrupy Apple,Hold items,Evolves Applin into Dipplin.
1015,Tadbulb Mucus,General items,"Material obtained after defeating/catching Tadbulb, used in TM crafting."
